Title,Popularity,VoteCount,VoteAverage,Genre
The Red Book Ritual,698.517,7,6.6,horror
Madagascar: A Little Wild Holiday Goose Chase,425.228,6,5.3,animation
Family Game,428.446,5,5.1,drama
Hex,689.748,3,2.3,horror
Hex,689.748,3,2.3,thriller
Hex,689.748,3,2.3,action
20/20 Presents Black Panther: In Search of Wakanda,370.845,1,4,documentary
Avatar: The Way of Water,740.079,0,0,adventure
Avatar: The Way of Water,740.079,0,0,action
Avatar: The Way of Water,740.079,0,0,sf
